"Source:","C:\Users\evan6\Documents\Projects\Apollo\DSKY\Boards\Main_board\Main_board.kicad_sch"
"Date:","3/24/2024 1:51:13 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","F:\Electronics\KiCAD\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","28"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Link","Part Number"
"1","1","A1","Arduino_Nano_Socket","PCM_arduino-library:Arduino_Nano_Socket","PCM_arduino-library:Arduino_Nano_Socket","https://docs.arduino.cc/hardware/nano","","",""
"2","1","J1","Conn_01x05_Socket","Connector:Conn_01x05_Socket","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~","","",""
"3","2","J2, J3","Conn_01x04_Socket","Connector:Conn_01x04_Socket","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~","","",""
"4","5","R1, R2, R3, R4, R5","10k","Device:R_Small","Resistor_SMD:R_1206_3216Metric","~","","https://www.mouser.com/ProductDetail/652-CR1206FX-1002ELF","CR1206-FX-1002ELF"
"5","1","SW1","VERB","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"6","1","SW2","NOUN","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"7","1","SW3","+","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"8","1","SW4","-","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"9","1","SW5","0","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"10","1","SW6","7","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"11","1","SW7","4","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"12","1","SW8","1","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"13","1","SW9","8","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"14","1","SW10","5","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"15","1","SW11","2","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"16","1","SW12","9","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"17","1","SW13","6","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"18","1","SW14","3","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"19","1","SW15","CLR","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"20","1","SW16","PRO","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"21","1","SW17","KEYREL","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"22","1","SW18","ENTR","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
"23","1","SW19","RSET","Switch:SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate","~","","",""
