Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805 4.7uF,2,4.7uF,C1779
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C6, C7, C8, C9",0805 100nF,39,100nF,C28323
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",SK6812-MINI-E,34,SK6812MINI, C5149201
D35,D_SOD-123,1,MBR0520LT1G,
J1,TerminalBlock_bornier-2_P5.08mm,1,POWER,C8465
J2,PinHeader_2x03_P2.54mm_Vertical_SMD,1,ICSP,C192301
"J3, J4, J5",USB-C-TH_918-468K2029E50001,3,918-468K2029E50001,
R1,0603,1,470,C23179
"R10, R2, R3, R44, R45, R9",0603,6,0603WAF5101T5E,
"R4, R5, R6, R7, R8",1206,5,10k,C17902
"R46, R47",0603,2,1k,C21190
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Kailh_socket_MX,19,2V~12V SMD Mechanical Keyboard Shaft ROHS,C2803348
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
